"PVWatts: Hourly PV Performance Data"
"Requested Location:","new york"
"Location:","Lat, Lng: 40.73, -74.02"
"Lat (deg N):","40.73"
"Lng (deg W):","74.02"
"Elev (m):","0"
"DC System Size (kW):","4"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","5","23","0","0","-6","5","0","-6","0","0"
"1","6","0","0","0","-6","5","0","-6","0","0"
"1","6","1","0","0","-7","5","0","-7","0","0"
"1","6","2","0","0","-7","4","0","-7","0","0"
"1","6","3","0","0","-6","3","0","-6","0","0"
"1","6","4","0","0","-6","3","0","-6","0","0"
"1","6","5","0","0","-6","2","0","-6","0","0"
"1","6","6","0","0","-6","1","0","-6","0","0"
"1","6","7","0","0","-7","0","0","-7","0","0"
"1","6","8","67","64","-6","0","100.407","-6.005","384.308","356.302"
"1","6","9","3","108","-6","1","110.368","-4.38","431.435","402.403"
"1","6","10","147","187","-5","1","311.508","3.583","1171.882","1124.016"
"1","6","11","151","216","-5","2","356.452","4.126","1340.849","1287.97"
"1","6","12","44","195","-5","2","243.008","1.102","927.704","886.612"
"1","6","13","38","171","-5","2","210.22","-0.27","806.661","768.722"
"1","6","14","145","148","-5","2","252.016","0.793","953.111","911.34"
"1","6","15","168","67","-5","3","150.404","-2.417","557.361","525.486"
"1","6","16","0","8","-5","3","7.569","-6.367","29.848","8.9"
"1","6","17","0","0","-5","3","0","-5","0","0"
"1","6","18","0","0","-6","3","0","-6","0","0"
"1","6","19","0","0","-6","4","0","-6","0","0"
"1","6","20","0","0","-6","4","0","-6","0","0"
"1","6","21","0","0","-6","4","0","-6","0","0"
"1","6","22","0","0","-7","4","0","-7","0","0"
"1","6","23","0","0","-7","4","0","-7","0","0"
"1","7","0","0","0","-7","4","0","-7","0","0"
"1","7","1","0","0","-7","4","0","-7","0","0"
"1","7","2","0","0","-7","5","0","-7","0","0"
"1","7","3","0","0","-6","5","0","-6","0","0"
"1","7","4","0","0","-6","6","0","-6","0","0"
"1","7","5","0","0","-6","6","0","-6","0","0"
"1","7","6","0","0","-6","7","0","-6","0","0"
"1","7","7","0","0","-6","7","0","-6","0","0"
"1","7","8","562","54","-5","7","292.552","-1.51","1039.615","995.487"
"1","7","9","754","79","-5","8","520.652","1.83","1921.513","1849.387"
"1","7","10","404","141","-5","8","445.294","0.923","1685.662","1621.732"
"1","7","11","651","107","-5","9","615.525","2.717","2318.107","2231.034"
"1","7","12","635","112","-5","9","611.383","2.79","2302.479","2216.022"
"1","7","13","586","108","-5","9","536.605","1.766","2020.927","1945.192"
"1","7","14","510","88","-5","9","403.305","-0.11","1509.322","1451.182"
"1","7","15","394","55","-6","9","235.432","-3.502","856.425","817.206"
"1","7","16","0","14","-7","9","13.267","-7.65","52.591","31.225"
"1","7","17","0","0","-8","9","0","-8","0","0"
"1","7","18","0","0","-9","10","0","-9","0","0"
"1","7","19","0","0","-10","10","0","-10","0","0"
"1","7","20","0","0","-11","9","0","-11","0","0"
"1","7","21","0","0","-11","9","0","-11","0","0"
"1","7","22","0","0","-12","9","0","-12","0","0"
"1","7","23","0","0","-12","9","0","-12","0","0"
"1","8","0","0","0","-12","8","0","-12","0","0"
"1","8","1","0","0","-12","8","0","-12","0","0"
"1","8","2","0","0","-12","8","0","-12","0","0"
"1","8","3","0","0","-12","7","0","-12","0","0"
"1","8","4","0","0","-12","7","0","-12","0","0"
"1","8","5","0","0","-13","6","0","-13","0","0"
"1","8","6","0","0","-13","6","0","-13","0","0"
"1","8","7","0","0","-12","6","0","-12","0","0"
"1","8","8","609","50","-10","6","306.541","-5.923","1106.073","1060.087"
"1","8","9","781","74","-9","6","530.043","-0.574","1975.103","1901.042"
"1","8","10","858","88","-7","5","686.42","5.904","2533.797","2437.98"
"1","8","11","879","98","-6","5","767.118","8.744","2813.274","2705.487"
"1","8","12","866","101","-6","5","763.639","8.81","2800.504","2693.279"
"1","8","13","836","93","-6","5","689.023","7.343","2530.665","2434.979"
"1","8","14","758","79","-6","5","534.063","4.179","1956.902","1883.502"
"1","8","15","595","55","-6","5","317.8","-0.334","1131.998","1085.276"
"1","8","16","0","20","-7","4","19.533","-7.588","77.413","55.585"
"1","8","17","0","0","-8","4","0","-8","0","0"
"1","8","18","0","0","-8","5","0","-8","0","0"
"1","8","19","0","0","-8","5","0","-8","0","0"
"1","8","20","0","0","-9","6","0","-9","0","0"
"1","8","21","0","0","-8","6","0","-8","0","0"
"1","8","22","0","0","-8","6","0","-8","0","0"
"1","8","23","0","0","-7","6","0","-7","0","0"
"1","9","0","0","0","-6","7","0","-6","0","0"
"1","9","1","0","0","-6","7","0","-6","0","0"
"1","9","2","0","0","-5","8","0","-5","0","0"
"1","9","3","0","0","-5","9","0","-5","0","0"
"1","9","4","0","0","-4","9","0","-4","0","0"
"1","9","5","0","0","-4","9","0","-4","0","0"
"1","9","6","0","0","-4","9","0","-4","0","0"
"1","9","7","0","0","-4","9","0","-4","0","0"
